sggucd,sggucdnm
110001,강남구
110002,강동구
110003,강서구
110004,관악구
110005,구로구
110006,도봉구
110007,동대문구
110008,동작구
110009,마포구
110010,서대문구
110011,성동구
110012,성북구
110013,영등포구
110014,용산구
110015,은평구
110016,종로구
110017,중구
110018,송파구
110019,중랑구
110020,양천구
110021,서초구
110022,노원구
110023,광진구
110024,강북구
110025,금천구
210001,부산남구
210002,부산동구
210003,부산동래구
210004,부산진구
210005,부산북구
210006,부산서구
210007,부산영도구
210008,부산중구
210009,부산해운대구
210010,부산사하구
210011,부산금정구
210012,부산강서구
210013,부산연제구
210014,부산수영구
210015,부산사상구
210100,부산기장군
220001,인천미추홀구
220001,인천남구
220002,인천동구
220003,인천부평구
220004,인천중구
220005,인천서구
220006,인천남동구
220007,인천연수구
220008,인천계양구
220100,인천강화군
220200,인천옹진군
230001,대구남구
230002,대구동구
230003,대구북구
230004,대구서구
230005,대구수성구
230006,대구중구
230007,대구달서구
230100,대구달성군
240001,광주동구
240002,광주북구
240003,광주서구
240004,광주광산구
240005,광주남구
250001,대전유성구
250002,대전대덕구
250003,대전서구
250004,대전동구
250005,대전중구
260001,울산남구
260002,울산동구
260003,울산중구
260004,울산북구
260100,울산울주군
310001,가평군
310009,양평군
310011,연천군
310100,광명시
310200,동두천시
310300,부천시
310401,성남수정구
310402,성남중원구
310403,성남분당구
310601,수원권선구
310602,수원장안구
310603,수원팔달구
310604,수원영통구
310701,안양만안구
310702,안양동안구
310800,의정부시
310900,과천시
311000,구리시
311101,안산단원구
311102,안산상록구
311200,평택시
311300,하남시
311400,군포시
311500,남양주시
311600,의왕시
311700,시흥시
311800,오산시
311901,고양덕양구
311902,고양일산서구
311903,고양일산동구
312001,용인기흥구
312002,용인수지구
312003,용인처인구
312100,이천시
312200,파주시
312300,김포시
312400,안성시
312500,화성시
312600,광주시
312700,양주시
312800,포천시
312900,여주시
320001,고성군
320004,양구군
320005,양양군
320006,영월군
320008,인제군
320009,정선군
320010,철원군
320012,평창군
320013,홍천군
320014,화천군
320015,횡성군
320100,강릉시
320200,동해시
320300,속초시
320400,원주시
320500,춘천시
320600,태백시
320700,삼척시
330001,괴산군
330002,단양군
330003,보은군
330004,영동군
330005,옥천군
330006,음성군
330009,진천군
330011,증평군
330101,청주상당구
330102,청주흥덕구
330103,청주청원구
330104,청주서원구
330200,충주시
330300,제천시
340002,금산군
340007,부여군
340009,서천군
340012,예산군
340014,청양군
340015,홍성군
340016,태안군
340201,천안서북구
340202,천안동남구
340300,공주시
340400,보령시
340500,아산시
340600,서산시
340700,논산시
340800,계룡시
340900,당진시
350001,고창군
350004,무주군
350005,부안군
350006,순창군
350008,완주군
350010,임실군
350011,장수군
350013,진안군
350100,군산시
350200,남원시
350300,익산시
350401,전주완산구
350402,전주덕진구
350500,정읍시
350600,김제시
360001,강진군
360002,고흥군
360003,곡성군
360006,구례군
360008,담양군
360009,무안군
360010,보성군
360012,신안군
360014,영광군
360015,영암군
360016,완도군
360017,장성군
360018,장흥군
360019,진도군
360020,함평군
360021,해남군
360022,화순군
360200,나주시
360300,목포시
360400,순천시
360500,여수시
360700,광양시
370002,고령군
370003,군위군
370007,봉화군
370010,성주군
370012,영덕군
370013,영양군
370017,예천군
370018,울릉군
370019,울진군
370021,의성군
370022,청도군
370023,청송군
370024,칠곡군
370100,경주시
370200,구미시
370300,김천시
370400,안동시
370500,영주시
370600,영천시
370701,포항남구
370702,포항북구
370800,문경시
370900,상주시
371000,경산시
380002,거창군
380003,고성군
380005,남해군
380008,산청군
380011,의령군
380014,창녕군
380016,하동군
380017,함안군
380018,함양군
380019,합천군
380100,김해시
390200,제주시
380701,창원마산회원구
380300,사천시
380500,진주시
380702,창원마산합포구
380703,창원진해구
380704,창원의창구
380705,창원성산구
380800,통영시
380900,밀양시
381000,거제시
381100,양산시
390100,서귀포시
410000,세종시
